"","Date","Island","Set","new_lat","new_long","no_crabs","mean_length","mean_depth","bottom"
"127","4/26/18","Oahu",1,21.442,158.19555,32,3.5796875,6.7,NA
"128","4/26/18","Oahu",2,21.4499333333333,158.201183333333,28,3.77571428571429,6.7,"sandy, seagrass"
"129","4/26/18","Oahu",3,21.4397666666667,158.199233333333,15,3.518,6.7,NA
"130","4/30/18","Oahu",1,21.4426666666667,158.19735,16,4.045625,13.3,NA
"131","4/30/18","Oahu",2,21.4387833333333,158.20335,13,4.15076923076923,30,"rubble"
"132","4/30/18","Oahu",3,21.4379666666667,158.203083333333,7,3.61285714285714,26.7,"sandy"
"133","4/30/18","Oahu",4,21.4204666666667,158.20075,38,3.79868421052632,33.3,NA
"134","4/8/18","Oahu",1,21.4402666666667,158.199333333333,13,3.69846153846154,15,NA
"135","4/8/18","Oahu",2,21.4230333333333,158.193666666667,15,3.682,26.67,NA
"136","4/8/18","Oahu",3,21.42315,158.193833333333,25,3.5664,26.67,NA
"137","4/8/18","Oahu",4,21.4218833333333,158.199516666667,13,3.85307692307692,26.67,NA
