Date,Island,Latitude,Longitude,Set,Depth (fa),Carapace Length (in),Sex
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,5.5,m
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.8,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3,m
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,5.8,m
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.8,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.5,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.9,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.6,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,2.5,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4.2,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.7,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,4,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.7,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.6,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,m
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.8,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.8,m
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,2.1,m
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,4,f
12/8/17,Oahu,21°16.5281  ,157°40.7377 ,4,15,3.5,f
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,4.4,m
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,4.6,m
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,3.8,m
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,3.7,m
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,4,m
12/8/17,Oahu,21°16.4701  ,157°40.7811 ,5,16,3.1,f
12/8/17,Oahu,21°16.460  ,157°40.731 ,6,16,4,m
12/8/17,Oahu,21°16.460  ,157°40.731 ,6,16,3.8,f
12/8/17,Oahu,21°16.4888  ,157°40.7213 ,7,15.5,3.6,f
12/8/17,Oahu,21°16.4888  ,157°40.7213 ,7,15.5,4,f
12/8/17,Oahu,21°16.4888  ,157°40.7213 ,7,15.5,3.7,f
12/8/17,Oahu,21°16.4888  ,157°40.7213 ,7,15.5,4,f
12/16/17,Maui,20°56.889 ,156°29.357 ,1,22,2.9,f
12/16/17,Maui,20°56.889 ,156°29.357 ,1,22,3.7,f
12/16/17,Maui,20°56.899 ,156°29.451 ,2,20,2.3,f
12/16/17,Maui,20°56.899 ,156°29.451 ,2,20,1.8,f
12/16/17,Maui,20°56.859 ,156°29.377 ,3,20,4.2,m
12/16/17,Maui,20°56.859 ,156°29.377 ,3,20,4.7,m
12/16/17,Maui,20°56.859 ,156°29.377 ,3,20,4.5,f
12/16/17,Maui,20°56.859 ,156°29.377 ,3,20,4.3,m
12/16/17,Maui,20°56.859 ,156°29.377 ,3,20,1.9,m
12/16/17,Maui,20°57.073 ,156°29.678 ,4,20,2.6,f
12/16/17,Maui,20°57.073 ,156°29.678 ,4,20,2.4,m
12/16/17,Maui,20°57.024 ,156°29.598 ,5,21,3.7,m
12/16/17,Maui,20°57.024 ,156°29.598 ,5,21,3.4,f
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.5,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.4,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,2.5,f
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,2.6,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,4,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.6,f
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.8,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.4,m
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.2,f
12/16/17,Maui,20°56.980 ,156°29.504 ,6,21,3.5,f
12/16/17,Maui,20°56.922 ,156°29.425 ,7,20,,
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,4.4,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,4.1,f
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,4.1,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.7,f
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.4,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.4,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.1,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,2.3,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.8,f
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,3.7,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,2.4,m
12/16/17,Maui,20°56.844 ,156°29.492 ,8,20,2.2,m
12/16/17,Maui,20°56.841 ,156°29.257 ,9,20,,
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,3.7,f
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4.3,m
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4.1,f
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,3.9,f
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4,m
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4.2,m
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4,f
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,3.5,m
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,3.3,f
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4.2,m
12/16/17,Maui,20°57.027 ,156°29.427 ,10,20,4.1,m
12/16/17,Maui,20°56.914 ,156°29.312 ,11,21,3.4,m
12/16/17,Maui,20°56.914 ,156°29.312 ,11,21,3.7,f
12/16/17,Maui,20°56.914 ,156°29.312 ,11,21,3,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,?,u
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,3.5,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,3.3,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,2.5,f
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,2.4,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,?,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,3.3,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,2.6,f
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,2.3,f
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,4.5,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,4,m
12/16/17,Maui,20°57.092 ,156°29.801 ,12,20,3.7,m
12/16/17,Maui,20°56.864 ,156°29.500 ,13,21,?,u
12/16/17,Maui,20°56.864 ,156°29.500 ,13,21,?,u
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,4.3,f
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,3.4,m
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,3.3,m
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,?,u
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,?,u
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,?,u
12/16/17,Maui,20°57.018 ,156°29.713 ,14,20,2.6,m
12/16/17,Maui,20°56.925 ,156°29.669 ,15,20,4.3,m
1/10/18,Oahu,21°17.287 ,158°00.370 ,1,16.6,,
1/10/18,Oahu,21°17.426 ,158°00.938 ,2,15.6,,
1/10/18,Oahu,21°17.350 ,158°00.125 ,3,13.3,,
1/10/18,Oahu,21°17.433 ,158°00.200 ,4,10.5,4,m
1/10/18,Oahu,21°17.433 ,158°00.200 ,4,10.5,3.7,f
1/10/18,Oahu,21°17.399 ,158°00.532 ,5,14.6,,
1/10/18,Oahu,21°17.449 ,158°00.298 ,6,11.1,,
1/10/18,Oahu,21°17.431 ,158°00.304 ,7,11,4.2,f
1/10/18,Oahu,21°17.431 ,158°00.304 ,7,11,2.6,m
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.3,f
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.8,m
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.4,f
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.7,m
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.8,m
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.5,f
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,4.1,f
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.5,f
1/11/18,Oahu,21°26.464 ,158°11.843 ,1,12,3.4,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.3,f
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,5.2,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,3.4,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,3.3,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.3,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.5,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,3.1,f
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.7,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.5,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,3,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,4.2,m
1/11/18,Oahu,21°26.431 ,158°12.021 ,2,17,3.7,m
1/11/18,Oahu,21°26.581 ,158°11.844 ,3,12,4.4,f
1/11/18,Oahu,21°26.581 ,158°11.844 ,3,12,4.1,f
1/11/18,Oahu,21°26.581 ,158°11.844 ,3,12,3.8,f
1/11/18,Oahu,21°26.581 ,158°11.844 ,3,12,3.5,m
1/11/18,Oahu,21°26.581 ,158°11.844 ,3,12,4.3,m
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.6,f
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.5,f
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.6,m
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.2,f
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.6,f
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.8,m
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.7,f
1/11/18,Oahu,21°28.368 ,158°13.884 ,4,8.3,3.2,m
1/11/18,Oahu,21°31.770 ,158°13.940 ,5,10,4.5,f
1/11/18,Oahu,21°31.770 ,158°13.940 ,5,10,3.1,m
1/11/18,Oahu,21°31.770 ,158°13.940 ,5,10,3.9,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.75,f
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,4.15,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.18,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.9,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.4,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,2.94,f
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,2.7,f
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.7,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.74,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.66,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.91,f
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,2.76,m
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.16,f
1/15/18,Oahu,21°28.340 ,158°13.986 ,1,25,3.05,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.33,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.32,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,2.35,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.32,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.83,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.44,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,4.03,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.83,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.68,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,2.44,f
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.92,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.1,m
1/15/18,Oahu,21°28.248 ,158°13.694 ,2,15,3.14,f
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,3.47,m
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,4,f
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,3.73,m
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,3.51,f
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,4.35,m
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,4,f
1/15/18,Oahu,21°28.305 ,158°13.857 ,3,19,3.71,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.64,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.11,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.95,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.5,m
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,4,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.87,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,5.01,m
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.6,f
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,4.73,m
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,3.35,m
1/15/18,Oahu,21°28.412 ,158°13.913 ,4,25,2.85,f
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,3.37,m
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,?,u
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,4.23,f
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,3.66,m
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,3.21,m
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,4,f
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,4.19,f
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,3.06,f
1/16/18,Oahu,21°28.399 ,158°13.666 ,1,8,3.4,u
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,4.1,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.03,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,4.32,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.42,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.86,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,2.51,m
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.63,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.14,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3,m
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.4,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.3,f
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,3.2,m
1/16/18,Oahu,21°26.555 ,158°11.747 ,2,6,4.4,f
1/16/18,Oahu,21°26.547 ,158°11.615 ,3,12,3.7,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,3,12,4,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,3,12,?,U
1/16/18,Oahu,21°26.547 ,158°11.615 ,3,12,4.2,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,3,12,?,U
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.64,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.95,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.4,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.47,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.35,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,5.1,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.34,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.75,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,2.95,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.8,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.1,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.9,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.51,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.24,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.8,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.3,F
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.15,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,2.9,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3.73,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4.4,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,4,M
1/16/18,Oahu,21°26.547 ,158°11.615 ,4,12,3,F
1/20/18,Kauai,21°59.151 ,160°08.462 ,1,40,,
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.95,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.85,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.85,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.4,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.75,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.7,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.7,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.5,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.3,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4.15,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,4,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.8,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.8,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.7,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.5,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.35,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.3,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,3.25,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.9,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.9,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.9,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.75,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.7,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.7,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.4,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.3,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.15,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2.1,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,2,f
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,1.9,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,1.8,m
1/20/18,Kauai,21°59.390 ,160°08.561 ,2,39,1.8,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.7,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.6,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.2,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.15,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.5,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.15,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.5,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.3,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.35,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.8,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.55,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,5.1,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.9,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.75,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.75,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.7,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.6,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.6,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.5,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.3,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.3,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.3,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.3,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.3,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.2,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.1,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.1,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4.05,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,4,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.8,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.8,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.8,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.7,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.65,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.5,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.25,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.14,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3.1,m
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,3,f
1/20/18,Kauai,21°59.531 ,160°08.798 ,3,47,2.7,f
1/20/18,Kauai,21°59.481 ,160°08.730 ,4,44,5,m
1/20/18,Kauai,21°59.481 ,160°08.730 ,4,44,3.2,m
